,Team,Opponent,GF,GA,Date,xGD,Performance
1024,Edmonton Oilers,Nashville Predators,3,4,2022-12-19,0.56,-1.13
1025,San Jose Sharks,Nashville Predators,2,3,2022-10-08,-0.70,-1.13
1026,Arizona Coyotes,Nashville Predators,3,4,2022-11-21,-0.76,-1.13
1027,Calgary Flames,Nashville Predators,1,2,2023-01-16,0.21,-1.13
1028,Boston Bruins,Ottawa Senators,2,3,2022-12-27,1.68,-1.15
1029,Montréal Canadiens,Ottawa Senators,4,5,2023-01-31,-0.91,-1.15
1030,Nashville Predators,Ottawa Senators,2,3,2022-12-10,0.02,-1.15
1031,Washington Capitals,Ottawa Senators,3,4,2022-12-29,0.44,-1.15
1032,Pittsburgh Penguins,Ottawa Senators,4,5,2023-01-18,0.39,-1.15
1033,New York Islanders,Ottawa Senators,1,2,2023-01-25,0.24,-1.15
1034,Los Angeles Kings,Ottawa Senators,2,3,2022-11-27,-0.01,-1.15
1035,New York Rangers,Ottawa Senators,2,3,2022-12-02,0.68,-1.15
1036,Montréal Canadiens,Ottawa Senators,2,3,2022-12-14,-0.91,-1.15
1037,Florida Panthers,Los Angeles Kings,4,5,2022-11-05,0.17,-1.16
1038,San Jose Sharks,Los Angeles Kings,3,4,2023-01-11,-0.66,-1.16
1039,Minnesota Wild,Los Angeles Kings,0,1,2022-11-08,0.35,-1.16
1040,Boston Bruins,Los Angeles Kings,2,3,2022-12-15,1.69,-1.16
1041,Colorado Avalanche,Los Angeles Kings,4,5,2022-12-29,0.53,-1.16
1042,Chicago Blackhawks,Los Angeles Kings,1,2,2023-01-22,-1.01,-1.16
1043,Detroit Red Wings,Los Angeles Kings,3,4,2022-11-12,-0.19,-1.16
1044,Nashville Predators,Los Angeles Kings,3,4,2022-10-18,0.03,-1.16
1045,Philadelphia Flyers,Los Angeles Kings,3,4,2023-01-24,-0.20,-1.16
1046,Detroit Red Wings,Los Angeles Kings,4,5,2022-10-17,-0.19,-1.16
1047,Minnesota Wild,Los Angeles Kings,6,7,2022-10-15,0.35,-1.16
1048,Florida Panthers,Los Angeles Kings,3,4,2023-01-27,0.17,-1.16
1049,Calgary Flames,Los Angeles Kings,3,4,2022-12-22,0.25,-1.16
1050,San Jose Sharks,Los Angeles Kings,2,3,2022-12-17,-0.66,-1.16
1051,Dallas Stars,Los Angeles Kings,2,3,2023-01-03,0.92,-1.16
1052,Chicago Blackhawks,Los Angeles Kings,1,2,2022-11-10,-1.01,-1.16
1053,Buffalo Sabres,New Jersey Devils,1,3,2022-11-25,-0.45,-1.17
1054,Pittsburgh Penguins,New Jersey Devils,2,4,2022-12-30,-0.58,-1.17
1055,Carolina Hurricanes,New Jersey Devils,3,5,2023-01-10,-0.14,-1.17
1056,Arizona Coyotes,New Jersey Devils,2,4,2022-11-12,-1.71,-1.17
1057,Anaheim Ducks,New Jersey Devils,2,4,2022-10-18,-2.37,-1.17
1058,New York Rangers,New Jersey Devils,3,5,2022-11-28,-0.29,-1.17
1059,Florida Panthers,New Jersey Devils,2,4,2022-12-21,-0.82,-1.17
1060,Chicago Blackhawks,Dallas Stars,4,6,2022-11-23,-1.92,-1.24
1061,Washington Capitals,Dallas Stars,0,2,2022-10-27,-0.47,-1.24
1062,Florida Panthers,Dallas Stars,4,6,2022-11-17,-0.75,-1.24
1063,Montréal Canadiens,Dallas Stars,2,4,2022-12-23,-1.82,-1.24
1064,San Jose Sharks,Toronto Maple Leafs,1,3,2022-11-30,-1.57,-1.26
1065,Carolina Hurricanes,Toronto Maple Leafs,1,3,2022-11-06,-0.06,-1.26
1066,Detroit Red Wings,Toronto Maple Leafs,2,4,2022-11-28,-1.09,-1.26
1067,St. Louis Blues,Carolina Hurricanes,4,6,2022-12-01,-1.23,-1.31
1068,Los Angeles Kings,Carolina Hurricanes,2,4,2022-12-03,-0.85,-1.31
1069,Buffalo Sabres,Carolina Hurricanes,3,5,2022-11-04,-0.31,-1.31
1070,Minnesota Wild,Tampa Bay Lightning,2,4,2023-01-24,-0.49,-1.32
1071,Buffalo Sabres,Tampa Bay Lightning,3,5,2022-11-05,-0.30,-1.32
1072,Anaheim Ducks,Tampa Bay Lightning,2,4,2022-10-26,-2.22,-1.32
1073,St. Louis Blues,Tampa Bay Lightning,2,4,2023-01-14,-1.22,-1.32
1074,New York Islanders,Tampa Bay Lightning,3,5,2022-10-22,-0.58,-1.32
1075,Arizona Coyotes,Tampa Bay Lightning,3,5,2022-12-31,-1.57,-1.32
1076,New York Rangers,Detroit Red Wings,2,3,2022-11-06,0.89,-1.35
1077,Vegas Golden Knights,Detroit Red Wings,2,3,2023-01-19,0.53,-1.35
1078,San Jose Sharks,Detroit Red Wings,2,3,2023-01-24,-0.47,-1.35
1079,Arizona Coyotes,Detroit Red Wings,3,4,2022-11-25,-0.54,-1.35
1080,Minnesota Wild,Detroit Red Wings,1,2,2022-10-29,0.55,-1.35
1081,Montréal Canadiens,Detroit Red Wings,3,4,2023-01-26,-0.71,-1.35
1082,Pittsburgh Penguins,Detroit Red Wings,4,5,2022-12-28,0.59,-1.35
1083,San Jose Sharks,Philadelphia Flyers,3,4,2022-12-29,-0.47,-1.36
1084,Florida Panthers,Philadelphia Flyers,3,4,2022-10-27,0.37,-1.36
1085,Tampa Bay Lightning,Philadelphia Flyers,2,3,2022-10-18,1.04,-1.36
1086,Ottawa Senators,Philadelphia Flyers,1,2,2022-11-05,0.21,-1.36
1087,Vancouver Canucks,Philadelphia Flyers,2,3,2022-10-15,-0.17,-1.36
1088,Detroit Red Wings,Philadelphia Flyers,1,2,2023-01-21,0.01,-1.36
1089,New Jersey Devils,Philadelphia Flyers,1,2,2022-12-15,1.18,-1.36
1090,Anaheim Ducks,New York Rangers,4,6,2022-10-17,-2.08,-1.46
1091,New York Islanders,New York Rangers,3,5,2022-12-22,-0.44,-1.46
1092,Florida Panthers,New York Rangers,3,5,2023-01-01,-0.53,-1.46
1093,Carolina Hurricanes,New York Rangers,3,5,2023-01-03,0.15,-1.46
1094,St. Louis Blues,New York Rangers,4,6,2022-12-05,-1.08,-1.46
1095,Los Angeles Kings,New York Rangers,3,5,2022-11-22,-0.70,-1.46
1096,Columbus Blue Jackets,New York Rangers,1,3,2023-01-16,-1.80,-1.46
1097,Tampa Bay Lightning,New York Rangers,1,3,2022-10-11,0.14,-1.46
1098,Ottawa Senators,New York Rangers,1,3,2022-11-30,-0.68,-1.46
1099,Toronto Maple Leafs,New York Rangers,1,3,2022-12-15,0.21,-1.46
1100,New York Islanders,Boston Bruins,1,4,2023-01-18,-1.43,-1.47
1101,Arizona Coyotes,Boston Bruins,3,6,2022-10-15,-2.42,-1.47
1102,New York Rangers,Boston Bruins,2,5,2022-11-03,-0.99,-1.47
1103,Philadelphia Flyers,Boston Bruins,1,4,2022-11-17,-1.89,-1.47
1104,Los Angeles Kings,Boston Bruins,2,5,2023-01-05,-1.69,-1.47
1105,Washington Capitals,Boston Bruins,2,5,2022-10-12,-1.24,-1.47
1106,Vancouver Canucks,Boston Bruins,2,5,2022-11-13,-2.06,-1.47
1107,Pittsburgh Penguins,Seattle Kraken,1,3,2022-10-29,-0.27,-1.49
1108,Columbus Blue Jackets,Seattle Kraken,1,3,2023-01-28,-1.78,-1.49
1109,Vegas Golden Knights,Seattle Kraken,2,4,2022-11-25,-0.33,-1.49
1110,Vancouver Canucks,Winnipeg Jets,2,4,2022-12-29,-1.00,-1.53
1111,San Jose Sharks,Vancouver Canucks,5,6,2022-12-07,-0.29,-1.53
1112,Buffalo Sabres,Vancouver Canucks,4,5,2022-11-15,0.91,-1.53
1113,Montréal Canadiens,Vancouver Canucks,6,7,2022-12-05,-0.53,-1.53
1114,Buffalo Sabres,Winnipeg Jets,2,4,2023-01-12,-0.10,-1.53
1115,San Jose Sharks,Vancouver Canucks,3,4,2022-11-27,-0.29,-1.53
1116,Arizona Coyotes,Vancouver Canucks,2,3,2022-12-03,-0.36,-1.53
1117,Tampa Bay Lightning,Winnipeg Jets,2,4,2023-01-06,0.21,-1.53
1118,Calgary Flames,Vancouver Canucks,3,4,2022-12-14,0.62,-1.53
1119,Colorado Avalanche,Vancouver Canucks,3,4,2022-11-23,0.90,-1.53
1120,Chicago Blackhawks,Winnipeg Jets,1,3,2022-12-09,-1.64,-1.53
1121,Seattle Kraken,Vancouver Canucks,4,5,2022-10-27,1.05,-1.53
1122,Los Angeles Kings,Winnipeg Jets,4,6,2022-10-27,-0.63,-1.53
1123,Carolina Hurricanes,Vancouver Canucks,3,4,2023-01-15,1.22,-1.53
1124,Seattle Kraken,Vancouver Canucks,5,6,2022-12-22,1.05,-1.53
1125,St. Louis Blues,Winnipeg Jets,2,4,2023-01-30,-1.02,-1.53
1126,Philadelphia Flyers,Winnipeg Jets,3,5,2023-01-22,-0.83,-1.53
1127,Toronto Maple Leafs,St. Louis Blues,5,6,2023-01-03,1.29,-1.54
1128,Nashville Predators,St. Louis Blues,0,1,2022-12-12,0.42,-1.54
1129,Calgary Flames,St. Louis Blues,3,4,2023-01-10,0.63,-1.54
1130,Washington Capitals,St. Louis Blues,4,5,2022-11-17,0.83,-1.54
1131,Seattle Kraken,St. Louis Blues,3,4,2022-10-19,1.06,-1.54
1132,Vegas Golden Knights,St. Louis Blues,2,3,2022-11-12,0.72,-1.54
1133,Florida Panthers,St. Louis Blues,4,5,2022-11-26,0.55,-1.54
1134,Ottawa Senators,St. Louis Blues,1,2,2023-01-16,0.40,-1.54
1135,Colorado Avalanche,St. Louis Blues,2,3,2022-11-14,0.92,-1.54
1136,Edmonton Oilers,St. Louis Blues,3,4,2022-12-15,0.98,-1.54
1137,Carolina Hurricanes,Edmonton Oilers,4,6,2022-10-20,0.25,-1.56
1138,Vancouver Canucks,Edmonton Oilers,2,4,2023-01-21,-0.97,-1.56
1139,Montréal Canadiens,Edmonton Oilers,3,5,2022-12-03,-1.50,-1.56
1140,Florida Panthers,Edmonton Oilers,2,4,2022-11-12,-0.43,-1.56
1141,Tampa Bay Lightning,Edmonton Oilers,3,5,2023-01-19,0.24,-1.56
1142,St. Louis Blues,Edmonton Oilers,1,3,2022-10-26,-0.98,-1.56
1143,Vancouver Canucks,Edmonton Oilers,3,5,2022-10-12,-0.97,-1.56
1144,New York Islanders,Edmonton Oilers,2,4,2023-01-05,-0.34,-1.56
1145,Nashville Predators,Colorado Avalanche,3,5,2022-11-10,-0.50,-1.63
1146,Nashville Predators,Colorado Avalanche,1,3,2022-12-17,-0.50,-1.63
1147,St. Louis Blues,Colorado Avalanche,2,4,2023-01-28,-0.92,-1.63
1148,Edmonton Oilers,Buffalo Sabres,2,4,2022-10-18,0.06,-1.63
1149,Nashville Predators,Buffalo Sabres,3,5,2023-01-14,-0.50,-1.63
1150,Buffalo Sabres,Colorado Avalanche,4,6,2022-12-01,0.00,-1.63
1151,Colorado Avalanche,Buffalo Sabres,2,4,2022-12-15,-0.00,-1.63
1152,St. Louis Blues,Buffalo Sabres,3,5,2023-01-24,-0.92,-1.63
1153,Montréal Canadiens,Washington Capitals,1,3,2022-10-15,-1.35,-1.71
1154,Vancouver Canucks,Washington Capitals,4,6,2022-10-17,-0.82,-1.71
1155,Florida Panthers,Pittsburgh Penguins,2,4,2022-12-15,-0.23,-1.76
1156,Minnesota Wild,Pittsburgh Penguins,4,6,2022-11-17,-0.05,-1.76
1157,Chicago Blackhawks,Pittsburgh Penguins,3,5,2022-11-20,-1.41,-1.76
1158,Toronto Maple Leafs,Pittsburgh Penguins,2,4,2022-11-11,0.50,-1.76
1159,Buffalo Sabres,Pittsburgh Penguins,1,3,2022-12-10,0.13,-1.76
1160,Washington Capitals,Minnesota Wild,2,4,2023-01-17,0.10,-1.81
1161,Edmonton Oilers,Minnesota Wild,3,5,2022-12-01,0.24,-1.81
1162,Ottawa Senators,Minnesota Wild,2,4,2022-10-27,-0.34,-1.81
1163,Montréal Canadiens,Minnesota Wild,1,3,2022-10-25,-1.25,-1.81
1164,Ottawa Senators,Minnesota Wild,2,4,2022-12-18,-0.34,-1.81
1165,New York Islanders,Minnesota Wild,1,3,2023-01-12,-0.10,-1.81
1166,Toronto Maple Leafs,Vegas Golden Knights,1,3,2022-10-24,0.56,-1.82
1167,Arizona Coyotes,San Jose Sharks,2,3,2022-12-13,-0.06,-1.82
1168,New York Rangers,San Jose Sharks,2,3,2022-10-20,1.36,-1.82
1169,Minnesota Wild,San Jose Sharks,2,3,2022-11-13,1.02,-1.82
1170,San Jose Sharks,Vegas Golden Knights,2,4,2022-10-25,-1.00,-1.82
1171,Toronto Maple Leafs,San Jose Sharks,3,4,2022-10-27,1.57,-1.82
1172,Dallas Stars,San Jose Sharks,4,5,2022-11-11,1.58,-1.82
1173,Montréal Canadiens,Vegas Golden Knights,4,6,2022-11-05,-1.24,-1.82
1174,Florida Panthers,Vegas Golden Knights,2,4,2023-01-12,-0.17,-1.82
1175,Philadelphia Flyers,Arizona Coyotes,4,5,2022-12-11,0.53,-1.89
1176,Boston Bruins,Arizona Coyotes,3,4,2022-12-09,2.42,-1.89
1177,Washington Capitals,Arizona Coyotes,2,3,2022-11-05,1.18,-1.89
1178,Detroit Red Wings,Arizona Coyotes,3,4,2023-01-17,0.54,-1.89
1179,New York Islanders,Arizona Coyotes,4,5,2022-12-16,0.98,-1.89
1180,Los Angeles Kings,Arizona Coyotes,1,2,2022-12-23,0.73,-1.89
1181,Chicago Blackhawks,New York Islanders,1,3,2022-11-01,-1.26,-1.91
1182,Ottawa Senators,New York Islanders,2,4,2022-11-14,-0.24,-1.91
1183,Colorado Avalanche,Calgary Flames,3,5,2022-10-13,0.29,-1.91
1184,New Jersey Devils,New York Islanders,4,6,2022-12-09,0.73,-1.91
1185,Minnesota Wild,Calgary Flames,3,5,2022-12-07,0.11,-1.91
1186,Detroit Red Wings,New York Islanders,0,2,2023-01-27,-0.45,-1.91
1187,Arizona Coyotes,Florida Panthers,3,5,2023-01-03,-0.90,-1.99
1188,Anaheim Ducks,Florida Panthers,3,5,2022-11-06,-1.55,-1.99
1189,New York Islanders,Florida Panthers,1,3,2022-10-13,0.09,-1.99
1190,Minnesota Wild,Florida Panthers,3,5,2023-01-21,0.18,-1.99
1191,New Jersey Devils,Florida Panthers,2,4,2022-12-17,0.82,-1.99
1192,Ottawa Senators,Florida Panthers,3,5,2022-10-29,-0.16,-1.99
1193,Toronto Maple Leafs,Montréal Canadiens,3,4,2022-10-12,1.80,-2.06
1194,New York Rangers,Montréal Canadiens,1,2,2023-01-15,1.60,-2.06
1195,Philadelphia Flyers,Montréal Canadiens,4,5,2022-11-19,0.70,-2.06
1196,Buffalo Sabres,Montréal Canadiens,2,3,2022-10-27,1.43,-2.06
1197,Nashville Predators,Montréal Canadiens,3,4,2023-01-12,0.93,-2.06
1198,Calgary Flames,Montréal Canadiens,1,2,2022-12-12,1.15,-2.06
1199,Detroit Red Wings,Montréal Canadiens,2,3,2022-11-08,0.71,-2.06
1200,Pittsburgh Penguins,Montréal Canadiens,2,3,2022-10-17,1.30,-2.06
1201,St. Louis Blues,Montréal Canadiens,4,5,2023-01-07,0.52,-2.06
1202,Chicago Blackhawks,Montréal Canadiens,2,3,2022-11-25,-0.11,-2.06
1203,Pittsburgh Penguins,Montréal Canadiens,4,5,2022-11-12,1.30,-2.06
1204,Arizona Coyotes,Montréal Canadiens,2,3,2022-12-19,0.17,-2.06
1205,Calgary Flames,Montréal Canadiens,1,2,2022-12-01,1.15,-2.06
1206,Toronto Maple Leafs,Montréal Canadiens,2,3,2023-01-21,1.80,-2.06
1207,New Jersey Devils,Nashville Predators,4,6,2023-01-26,0.95,-2.13
1208,Los Angeles Kings,Nashville Predators,3,5,2023-01-21,-0.03,-2.13
1209,Carolina Hurricanes,Nashville Predators,3,5,2023-01-05,0.81,-2.13
1210,Chicago Blackhawks,Nashville Predators,2,4,2022-12-21,-1.04,-2.13
1211,Boston Bruins,Ottawa Senators,5,7,2022-10-18,1.68,-2.15
1212,Arizona Coyotes,Ottawa Senators,3,5,2023-01-12,-0.74,-2.15
1213,Dallas Stars,Ottawa Senators,2,4,2022-10-24,0.90,-2.15
1214,Buffalo Sabres,Ottawa Senators,1,3,2023-01-01,0.52,-2.15
1215,Vegas Golden Knights,Los Angeles Kings,2,4,2022-12-27,0.34,-2.16
1216,Montréal Canadiens,Los Angeles Kings,2,4,2022-12-10,-0.90,-2.16
1217,Edmonton Oilers,Los Angeles Kings,1,3,2022-11-16,0.60,-2.16
1218,Arizona Coyotes,Los Angeles Kings,3,5,2022-12-01,-0.73,-2.16
1219,Tampa Bay Lightning,Los Angeles Kings,2,4,2022-10-25,0.84,-2.16
1220,Toronto Maple Leafs,Los Angeles Kings,2,4,2022-10-29,0.90,-2.16
1221,Los Angeles Kings,Chicago Blackhawks,1,2,2022-11-03,1.01,-2.17
1222,Seattle Kraken,Chicago Blackhawks,4,5,2022-10-23,1.68,-2.17
1223,New York Islanders,New Jersey Devils,1,4,2022-10-20,-0.73,-2.17
1224,Calgary Flames,Chicago Blackhawks,3,4,2023-01-08,1.25,-2.17
1225,Vancouver Canucks,New Jersey Devils,2,5,2022-11-01,-1.36,-2.17
1226,Anaheim Ducks,Chicago Blackhawks,2,3,2022-11-12,-0.38,-2.17
1227,Detroit Red Wings,Chicago Blackhawks,3,4,2022-10-21,0.81,-2.17
1228,Colorado Avalanche,Chicago Blackhawks,2,3,2023-01-12,1.54,-2.17
1229,Chicago Blackhawks,New Jersey Devils,0,3,2022-12-06,-1.99,-2.17
1230,Edmonton Oilers,New Jersey Devils,2,5,2022-11-21,-0.39,-2.17
1231,Buffalo Sabres,Chicago Blackhawks,3,4,2023-01-17,1.54,-2.17
1232,Los Angeles Kings,New Jersey Devils,2,5,2023-01-14,-0.99,-2.17
1233,New York Islanders,Dallas Stars,2,5,2022-11-19,-0.66,-2.24
1234,New Jersey Devils,Dallas Stars,1,4,2022-12-13,0.07,-2.24
1235,Minnesota Wild,Dallas Stars,1,4,2022-12-29,-0.56,-2.24
1236,San Jose Sharks,Dallas Stars,2,5,2022-12-31,-1.58,-2.24
1237,St. Louis Blues,Dallas Stars,1,4,2022-11-28,-1.30,-2.24
1238,Los Angeles Kings,Dallas Stars,2,5,2022-11-01,-0.92,-2.24
1239,Winnipeg Jets,Dallas Stars,1,4,2022-10-17,-0.28,-2.24
1240,Montréal Canadiens,Dallas Stars,2,5,2022-10-22,-1.82,-2.24
1241,Nashville Predators,Dallas Stars,1,4,2022-10-13,-0.88,-2.24
1242,Tampa Bay Lightning,Toronto Maple Leafs,1,4,2022-12-20,-0.06,-2.26
1243,Winnipeg Jets,Toronto Maple Leafs,1,4,2023-01-19,-0.27,-2.26
1244,Philadelphia Flyers,Toronto Maple Leafs,2,5,2022-11-02,-1.10,-2.26
1245,Pittsburgh Penguins,Toronto Maple Leafs,1,4,2022-11-26,-0.50,-2.26
1246,Pittsburgh Penguins,Toronto Maple Leafs,2,5,2022-11-15,-0.50,-2.26
1247,Buffalo Sabres,Toronto Maple Leafs,2,5,2022-11-19,-0.37,-2.26
1248,Winnipeg Jets,Toronto Maple Leafs,1,4,2022-10-22,-0.27,-2.26
1249,Detroit Red Wings,Toronto Maple Leafs,1,4,2023-01-07,-1.09,-2.26
1250,New York Islanders,Toronto Maple Leafs,2,5,2023-01-23,-0.65,-2.26
1251,Detroit Red Wings,Columbus Blue Jackets,3,4,2023-01-14,0.92,-2.27
1252,Philadelphia Flyers,Columbus Blue Jackets,4,5,2022-11-15,0.91,-2.27
1253,Vancouver Canucks,Columbus Blue Jackets,3,4,2022-10-18,0.74,-2.27
1254,Carolina Hurricanes,Columbus Blue Jackets,3,4,2023-01-07,1.95,-2.27
1255,Edmonton Oilers,Columbus Blue Jackets,2,3,2023-01-25,1.70,-2.27
1256,Los Angeles Kings,Columbus Blue Jackets,5,6,2022-12-11,1.11,-2.27
1257,New York Islanders,Carolina Hurricanes,0,3,2022-12-10,-0.59,-2.31
1258,New Jersey Devils,Carolina Hurricanes,1,4,2022-12-20,0.14,-2.31
1259,Boston Bruins,Carolina Hurricanes,1,4,2023-01-29,0.84,-2.31
1260,Chicago Blackhawks,Carolina Hurricanes,0,3,2022-12-27,-1.85,-2.31
1261,Chicago Blackhawks,Carolina Hurricanes,0,3,2022-11-14,-1.85,-2.31
1262,New York Islanders,Carolina Hurricanes,2,5,2023-01-21,-0.59,-2.31
1263,Columbus Blue Jackets,Carolina Hurricanes,1,4,2022-10-12,-1.95,-2.31
1264,Minnesota Wild,Carolina Hurricanes,2,5,2023-01-19,-0.49,-2.31
1265,Columbus Blue Jackets,Tampa Bay Lightning,1,4,2022-12-15,-1.95,-2.32
1266,St. Louis Blues,Tampa Bay Lightning,2,5,2022-11-25,-1.22,-2.32
1267,Columbus Blue Jackets,Tampa Bay Lightning,2,5,2022-10-14,-1.95,-2.32
1268,Columbus Blue Jackets,Tampa Bay Lightning,3,6,2023-01-10,-1.95,-2.32
1269,Nashville Predators,Tampa Bay Lightning,2,5,2022-12-08,-0.81,-2.32
1270,Montréal Canadiens,Tampa Bay Lightning,1,4,2022-12-28,-1.74,-2.32
1271,Los Angeles Kings,Tampa Bay Lightning,2,5,2023-01-28,-0.84,-2.32
1272,Florida Panthers,Tampa Bay Lightning,1,4,2022-12-10,-0.67,-2.32
1273,Vancouver Canucks,Tampa Bay Lightning,2,5,2023-01-18,-1.21,-2.32
1274,Chicago Blackhawks,Tampa Bay Lightning,1,4,2023-01-03,-1.85,-2.32
1275,Philadelphia Flyers,Tampa Bay Lightning,1,4,2022-12-01,-1.04,-2.32
1276,Calgary Flames,Tampa Bay Lightning,1,4,2022-11-17,-0.59,-2.32
1277,Washington Capitals,Tampa Bay Lightning,3,6,2022-11-13,-0.39,-2.32
1278,Seattle Kraken,Tampa Bay Lightning,1,4,2023-01-16,-0.16,-2.32
1279,Winnipeg Jets,Detroit Red Wings,5,7,2023-01-10,0.82,-2.35
1280,Washington Capitals,Detroit Red Wings,1,3,2022-11-03,0.64,-2.35
1281,Columbus Blue Jackets,Detroit Red Wings,2,4,2022-12-04,-0.92,-2.35
1282,Tampa Bay Lightning,Detroit Red Wings,2,4,2022-12-06,1.03,-2.35
1283,Ottawa Senators,Detroit Red Wings,2,4,2022-12-31,0.21,-2.35
1284,Colorado Avalanche,Philadelphia Flyers,3,5,2022-12-05,0.73,-2.36
1285,Columbus Blue Jackets,Philadelphia Flyers,3,5,2022-12-20,-0.91,-2.36
1286,Los Angeles Kings,Philadelphia Flyers,2,4,2022-12-31,0.20,-2.36
1287,Washington Capitals,Philadelphia Flyers,3,5,2023-01-11,0.65,-2.36
1288,New York Islanders,Philadelphia Flyers,1,3,2022-11-29,0.45,-2.36
1289,Washington Capitals,Philadelphia Flyers,1,3,2023-01-14,0.65,-2.36
1290,Nashville Predators,Philadelphia Flyers,1,3,2022-10-22,0.23,-2.36
1291,Montréal Canadiens,New York Rangers,1,4,2023-01-05,-1.60,-2.46
1292,Dallas Stars,New York Rangers,3,6,2022-10-29,0.22,-2.46
1293,Vegas Golden Knights,New York Rangers,1,4,2023-01-27,-0.36,-2.46
1294,Philadelphia Flyers,New York Rangers,3,6,2022-12-17,-0.89,-2.46
1295,Arizona Coyotes,New York Rangers,1,4,2022-11-13,-1.42,-2.46
1296,Florida Panthers,Boston Bruins,3,7,2022-12-19,-1.52,-2.47
1297,Columbus Blue Jackets,Boston Bruins,0,4,2022-10-28,-2.80,-2.47
1298,San Jose Sharks,Boston Bruins,0,4,2023-01-22,-2.35,-2.47
1299,Detroit Red Wings,Boston Bruins,1,5,2022-10-27,-1.88,-2.47
1300,Colorado Avalanche,Boston Bruins,1,5,2022-12-03,-1.16,-2.47
1301,Colorado Avalanche,Boston Bruins,0,4,2022-12-07,-1.16,-2.47
1302,Edmonton Oilers,Seattle Kraken,2,5,2023-01-03,-0.08,-2.49
1303,Florida Panthers,Seattle Kraken,2,5,2022-12-11,-0.51,-2.49
1304,San Jose Sharks,Seattle Kraken,5,8,2022-11-23,-1.34,-2.49
1305,Los Angeles Kings,Seattle Kraken,1,4,2022-10-13,-0.67,-2.49
1306,St. Louis Blues,Seattle Kraken,2,5,2022-12-20,-1.06,-2.49
1307,Chicago Blackhawks,Seattle Kraken,5,8,2023-01-14,-1.68,-2.49
1308,Boston Bruins,Seattle Kraken,0,3,2023-01-12,1.01,-2.49
1309,New York Islanders,Seattle Kraken,1,4,2023-01-01,-0.42,-2.49
1310,Pittsburgh Penguins,Winnipeg Jets,1,4,2023-01-13,-0.23,-2.53
1311,Ottawa Senators,Vancouver Canucks,4,6,2022-11-08,0.38,-2.53
1312,Florida Panthers,Winnipeg Jets,2,5,2022-12-06,-0.46,-2.53
1313,St. Louis Blues,Winnipeg Jets,2,5,2022-12-08,-1.02,-2.53
1314,Colorado Avalanche,Vancouver Canucks,2,4,2023-01-05,0.90,-2.53
1315,New York Rangers,Winnipeg Jets,1,4,2022-10-14,0.06,-2.53
1316,Anaheim Ducks,Winnipeg Jets,2,5,2022-12-04,-2.02,-2.53
1317,Vancouver Canucks,Winnipeg Jets,4,7,2023-01-08,-1.00,-2.53
1318,Chicago Blackhawks,St. Louis Blues,1,3,2022-12-29,-0.62,-2.54
1319,New Jersey Devils,St. Louis Blues,3,5,2023-01-05,1.37,-2.54
1320,Toronto Maple Leafs,Anaheim Ducks,3,4,2022-10-30,2.29,-2.54
1321,New York Rangers,Anaheim Ducks,2,3,2022-11-23,2.08,-2.54
1322,Edmonton Oilers,St. Louis Blues,0,2,2022-10-22,0.98,-2.54
1323,Arizona Coyotes,Anaheim Ducks,1,2,2023-01-28,0.66,-2.54
1324,Detroit Red Wings,Anaheim Ducks,2,3,2022-11-15,1.19,-2.54
1325,San Jose Sharks,Anaheim Ducks,4,5,2023-01-06,0.72,-2.54
1326,Anaheim Ducks,St. Louis Blues,1,3,2022-11-21,-1.00,-2.54
1327,Edmonton Oilers,Anaheim Ducks,3,4,2022-12-17,1.98,-2.54
1328,San Jose Sharks,Anaheim Ducks,4,5,2022-11-05,0.72,-2.54
1329,San Jose Sharks,St. Louis Blues,3,5,2022-11-10,-0.28,-2.54
1330,Carolina Hurricanes,Anaheim Ducks,3,4,2022-12-06,2.23,-2.54
1331,Vegas Golden Knights,Anaheim Ducks,2,3,2022-12-28,1.72,-2.54
1332,Seattle Kraken,Anaheim Ducks,4,5,2022-10-12,2.06,-2.54
1333,San Jose Sharks,Anaheim Ducks,5,6,2022-11-01,0.72,-2.54
1334,Dallas Stars,Edmonton Oilers,3,6,2022-12-21,0.32,-2.56
1335,Minnesota Wild,Edmonton Oilers,2,5,2022-12-09,-0.24,-2.56
1336,Nashville Predators,Edmonton Oilers,3,6,2022-12-13,-0.56,-2.56
1337,Nashville Predators,Edmonton Oilers,4,7,2022-11-01,-0.56,-2.56
1338,Seattle Kraken,Edmonton Oilers,2,5,2023-01-17,0.08,-2.56
1339,Pittsburgh Penguins,Edmonton Oilers,3,6,2022-10-24,-0.20,-2.56
1340,Ottawa Senators,Buffalo Sabres,1,4,2022-10-13,-0.52,-2.63
1341,Detroit Red Wings,Colorado Avalanche,3,6,2023-01-16,-0.73,-2.63
1342,Calgary Flames,Colorado Avalanche,1,4,2023-01-18,-0.29,-2.63
1343,Dallas Stars,Colorado Avalanche,1,4,2022-11-26,0.38,-2.63
1344,Vancouver Canucks,Colorado Avalanche,1,4,2023-01-20,-0.90,-2.63
1345,Chicago Blackhawks,Colorado Avalanche,2,5,2022-10-12,-1.54,-2.63
1346,Anaheim Ducks,Buffalo Sabres,3,6,2023-01-21,-1.92,-2.63
1347,Arizona Coyotes,Buffalo Sabres,2,5,2022-12-17,-1.26,-2.63
1348,Carolina Hurricanes,Colorado Avalanche,1,4,2022-11-12,0.31,-2.63
